Make,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Total Passengers,Total Survivors,Count,Favorable Result,Unfavorable Result,Percent Favorable,Percent Unfavorable
Cessna,1260.0,1368.0,668.0,6506.0,9802.0,8542.0,5167,5,292,0.09676795045480936,5.651248306560867
Piper,953.0,728.0,495.0,3483.0,5659.0,4706.0,3053,1,227,0.03275466754012447,7.4353095316082545
Beech,582.0,278.0,207.0,1328.0,2395.0,1813.0,1090,4,140,0.3669724770642202,12.844036697247708
Air Tractor,63.0,56.0,35.0,206.0,360.0,297.0,349,0,28,0.0,8.022922636103152
Cirrus,152.0,87.0,47.0,295.0,581.0,429.0,292,0,40,0.0,13.698630136986301
Mooney,136.0,71.0,69.0,218.0,494.0,358.0,276,0,26,0.0,9.420289855072465
Boeing,29.0,522.0,178.0,22698.0,23427.0,23398.0,269,139,7,51.6728624535316,2.6022304832713754
Bellanca,37.0,30.0,30.0,162.0,259.0,222.0,174,0,4,0.0,2.2988505747126435
Aeronca,26.0,39.0,25.0,155.0,245.0,219.0,167,0,6,0.0,3.592814371257485
Maule,20.0,24.0,10.0,207.0,261.0,241.0,164,0,5,0.0,3.048780487804878
Dehavilland,88.0,65.0,57.0,387.0,597.0,509.0,131,5,8,3.816793893129771,6.106870229007633
Champion,30.0,28.0,19.0,121.0,198.0,168.0,127,0,7,0.0,5.511811023622047
Luscombe,15.0,34.0,16.0,92.0,157.0,142.0,114,0,2,0.0,1.7543859649122806
Stinson,7.0,44.0,16.0,126.0,193.0,186.0,112,0,1,0.0,0.8928571428571428
Vans,42.0,32.0,24.0,61.0,159.0,117.0,107,0,16,0.0,14.953271028037381
Grumman,23.0,30.0,16.0,63.0,132.0,109.0,97,0,9,0.0,9.278350515463918
North American,42.0,15.0,18.0,99.0,174.0,132.0,95,0,12,0.0,12.631578947368421
Aviat Aircraft Inc,7.0,15.0,5.0,85.0,112.0,105.0,76,0,3,0.0,3.9473684210526314
Taylorcraft,11.0,24.0,13.0,59.0,107.0,96.0,72,0,1,0.0,1.3888888888888888
Diamond Aircraft Ind Inc,15.0,12.0,11.0,82.0,120.0,105.0,71,0,4,0.0,5.633802816901409
Aero Commander,23.0,17.0,13.0,55.0,108.0,85.0,71,0,3,0.0,4.225352112676056
Airbus,2.0,37.0,50.0,10694.0,10783.0,10781.0,69,59,1,85.5072463768116,1.4492753623188406
Embraer,3.0,29.0,36.0,2891.0,2959.0,2956.0,66,45,1,68.18181818181817,1.5151515151515151
McDonnell Douglas,10.0,26.0,19.0,2965.0,3020.0,3010.0,58,25,1,43.103448275862064,1.7241379310344827
Grumman Acft Eng Cor-Schweizer,1.0,11.0,7.0,39.0,58.0,57.0,58,0,0,0.0,0.0
Bombardier,55.0,45.0,25.0,2646.0,2771.0,2716.0,56,38,2,67.85714285714286,3.571428571428571
Socata,41.0,12.0,10.0,60.0,123.0,82.0,53,0,7,0.0,13.20754716981132
Raytheon Aircraft Company,40.0,22.0,12.0,91.0,165.0,125.0,53,1,10,1.8867924528301887,18.867924528301888
Rockwell International,18.0,6.0,6.0,61.0,91.0,73.0,52,0,7,0.0,13.461538461538462
American Champion Aircraft,13.0,9.0,6.0,49.0,77.0,64.0,50,0,2,0.0,4.0
Ercoupe,8.0,18.0,13.0,31.0,70.0,62.0,49,0,2,0.0,4.081632653061225
Grumman American Avn. Corp.,14.0,16.0,7.0,49.0,86.0,72.0,48,0,4,0.0,8.333333333333332
Flight Design Gmbh,7.0,20.0,4.0,35.0,66.0,59.0,45,0,1,0.0,2.2222222222222223
Rans,18.0,10.0,8.0,21.0,57.0,39.0,42,0,4,0.0,9.523809523809524
Zenith,11.0,11.0,4.0,33.0,59.0,48.0,42,0,5,0.0,11.904761904761903
Ayres Corporation,5.0,8.0,6.0,23.0,42.0,37.0,41,0,3,0.0,7.317073170731707
Aviat,4.0,11.0,4.0,37.0,56.0,52.0,39,0,2,0.0,5.128205128205128
Quicksilver,10.0,6.0,14.0,18.0,48.0,38.0,36,0,0,0.0,0.0
Diamond,3.0,10.0,5.0,44.0,62.0,59.0,36,0,0,0.0,0.0
Costruzioni Aeronautiche Tecna,4.0,6.0,1.0,38.0,49.0,45.0,33,0,1,0.0,3.0303030303030303
Mooney Aircraft Corp.,7.0,2.0,10.0,29.0,48.0,41.0,32,0,3,0.0,9.375
Waco,0.0,9.0,3.0,43.0,55.0,55.0,30,0,0,0.0,0.0
Evektor-Aerotechnik As,2.0,3.0,3.0,33.0,41.0,39.0,29,0,0,0.0,0.0
Rockwell,15.0,3.0,4.0,36.0,58.0,43.0,29,0,4,0.0,13.793103448275861
Ayres,1.0,3.0,2.0,18.0,24.0,23.0,24,0,0,0.0,0.0
Lancair,13.0,7.0,2.0,13.0,35.0,22.0,24,0,4,0.0,16.666666666666664
American Aviation,14.0,8.0,7.0,9.0,38.0,24.0,23,0,4,0.0,17.391304347826086
Cessna Aircraft Co,4.0,3.0,3.0,20.0,30.0,26.0,23,0,1,0.0,4.3478260869565215
Piper Aircraft Inc,8.0,5.0,2.0,28.0,43.0,35.0,22,0,3,0.0,13.636363636363635
Cubcrafters Inc,0.0,6.0,2.0,24.0,32.0,32.0,22,0,0,0.0,0.0
Cub Crafters,6.0,2.0,4.0,21.0,33.0,27.0,21,0,0,0.0,0.0
Cub Crafters Inc,0.0,1.0,0.0,32.0,33.0,33.0,20,0,0,0.0,0.0
Helio,3.0,4.0,2.0,36.0,45.0,42.0,20,0,1,0.0,5.0
Ryan,5.0,8.0,11.0,28.0,52.0,47.0,20,0,1,0.0,5.0
Flight Design,3.0,9.0,3.0,15.0,30.0,27.0,19,0,2,0.0,10.526315789473683
Schweizer Aircraft Corp,2.0,4.0,1.0,12.0,19.0,17.0,19,0,1,0.0,5.263157894736842
Zenair,2.0,3.0,1.0,21.0,27.0,25.0,19,0,1,0.0,5.263157894736842
Great Lakes,0.0,4.0,2.0,24.0,30.0,30.0,19,0,0,0.0,0.0
Smith,8.0,7.0,1.0,14.0,30.0,22.0,19,0,5,0.0,26.31578947368421
Globe,1.0,7.0,8.0,8.0,24.0,23.0,18,0,0,0.0,0.0
Navion,6.0,10.0,6.0,10.0,32.0,26.0,17,0,1,0.0,5.88235294117647
Yakovlev,13.0,4.0,2.0,7.0,26.0,13.0,17,0,2,0.0,11.76470588235294
American Legend Aircraft Co,0.0,1.0,2.0,21.0,24.0,24.0,17,0,0,0.0,0.0
Fairchild,8.0,7.0,1.0,14.0,30.0,22.0,17,0,2,0.0,11.76470588235294
Swearingen,3.0,2.0,0.0,26.0,31.0,28.0,16,0,2,0.0,12.5
Pilatus,29.0,0.0,4.0,41.0,74.0,45.0,16,1,2,6.25,12.5
American,3.0,6.0,5.0,8.0,22.0,19.0,16,0,0,0.0,0.0
Christen Industries Inc,2.0,7.0,1.0,10.0,20.0,18.0,15,0,0,0.0,0.0
Czech Aircraft Works Spol Sro,2.0,4.0,1.0,11.0,18.0,16.0,15,0,1,0.0,6.666666666666667
Lake,0.0,4.0,3.0,17.0,24.0,24.0,15,0,0,0.0,0.0
Engineering & Research,2.0,6.0,0.0,15.0,23.0,21.0,15,0,1,0.0,6.666666666666667
